generacja 114, waga 963, wartosc 4973, ocena 7496.5:
generacja 115, waga 836, wartosc 4831, ocena 7410.5:
generacja 116, waga 997, wartosc 5110, ocena 7668:
generacja 117, waga 930, wartosc 4870, ocena 7375:
generacja 118, waga 972, wartosc 4949, ocena 7451.5:
generacja 119, waga 928, wartosc 5285, ocena 7999.5:
generacja 120, waga 989, wartosc 4926, ocena 7400:
generacja 121, waga 946, wartosc 4934, ocena 7455:
generacja 122, waga 1000, wartosc 5122, ocena 7683:
generacja 123, waga 862, wartosc 4972, ocena 7596:
generacja 124, waga 991, wartosc 5099, ocena 7657.5:
generacja 125, waga 974, wartosc 5127, ocena 7716.5:
generacja 126, waga 994, wartosc 5352, ocena 8034:
generacja 127, waga 952, wartosc 5187, ocena 7828.5:
generacja 128, waga 920, wartosc 5160, ocena 7820:
generacja 129, waga 876, wartosc 5044, ocena 7690:
generacja 130, waga 969, wartosc 5271, ocena 7937.5:
generacja 131, waga 869, wartosc 5142, ocena 7844:
generacja 132, waga 974, wartosc 5254, ocena 7907:
generacja 133, waga 987, wartosc 5365, ocena 8060.5:
generacja 134, waga 991, wartosc 5392, ocena 8097:
generacja 135, waga 972, wartosc 5394, ocena 8119:
generacja 136, waga 932, wartosc 5452, ocena 8246:
generacja 137, waga 953, wartosc 5647, ocena 8517.5:
generacja 138, waga 992, wartosc 5706, ocena 8567:
generacja 139, waga 964, wartosc 5429, ocena 8179.5:
generacja 140, waga 977, wartosc 5322, ocena 8006:
generacja 141, waga 903, wartosc 5317, ocena 8072.5:
generacja 142, waga 969, wartosc 5364, ocena 8077:
generacja 143, waga 988, wartosc 5338, ocena 8019:
generacja 144, waga 948, wartosc 5357, ocena 8087.5:
generacja 145, waga 959, wartosc 5757, ocena 8676.5:
generacja 146, waga 917, wartosc 5618, ocena 8510:
generacja 147, waga 980, wartosc 5584, ocena 8396:
generacja 148, waga 951, wartosc 5587, ocena 8429.5:
generacja 149, waga 936, wartosc 5477, ocena 8279.5:
generacja 150, waga 995, wartosc 5754, ocena 8636:
generacja 151, waga 881, wartosc 5348, ocena 8141:
generacja 152, waga 956, wartosc 5480, ocena 8264:
generacja 153, waga 971, wartosc 5511, ocena 8295.5:
generacja 154, waga 974, wartosc 5884, ocena 8852:
generacja 155, waga 977, wartosc 5611, ocena 8439.5:
generacja 156, waga 870, wartosc 5553, ocena 8459.5:
generacja 157, waga 987, wartosc 5691, ocena 8549.5:
generacja 158, waga 999, wartosc 5935, ocena 8903.5:
generacja 159, waga 980, wartosc 5670, ocena 8525:
generacja 160, waga 972, wartosc 5643, ocena 8492.5:
generacja 161, waga 992, wartosc 5599, ocena 8406.5:
generacja 162, waga 970, wartosc 5542, ocena 8343:
generacja 163, waga 998, wartosc 5665, ocena 8499.5:
generacja 164, waga 986, wartosc 5784, ocena 8690:
generacja 165, waga 969, wartosc 5668, ocena 8533:
generacja 166, waga 953, wartosc 5683, ocena 8571.5:
generacja 167, waga 937, wartosc 5692, ocena 8601:
generacja 168, waga 983, wartosc 5668, ocena 8519:
generacja 169, waga 966, wartosc 5854, ocena 8815:
generacja 170, waga 988, wartosc 5858, ocena 8799:
generacja 171, waga 947, wartosc 5759, ocena 8691.5:
generacja 172, waga 953, wartosc 5820, ocena 8777:
generacja 173, waga 988, wartosc 5772, ocena 8670:
generacja 174, waga 961, wartosc 5810, ocena 8754:
generacja 175, waga 985, wartosc 5884, ocena 8841:
generacja 176, waga 901, wartosc 5703, ocena 8653.5:
generacja 177, waga 976, wartosc 5849, ocena 8797.5:
generacja 178, waga 981, wartosc 5764, ocena 8665:
generacja 179, waga 994, wartosc 5937, ocena 8911.5:
generacja 180, waga 963, wartosc 5942, ocena 8950:
generacja 181, waga 970, wartosc 6022, ocena 9063:
generacja 182, waga 992, wartosc 6056, ocena 9092:
generacja 183, waga 982, wartosc 6090, ocena 9153:
generacja 184, waga 907, wartosc 5998, ocena 9090:
generacja 185, waga 969, wartosc 6019, ocena 9059.5:
generacja 186, waga 941, wartosc 5939, ocena 8967.5:
generacja 187, waga 950, wartosc 5993, ocena 9039.5:
generacja 188, waga 974, wartosc 5892, ocena 8864:
generacja 189, waga 967, wartosc 5956, ocena 8967:
generacja 190, waga 969, wartosc 6010, ocena 9046:
generacja 191, waga 933, wartosc 5854, ocena 8848:
generacja 192, waga 967, wartosc 6075, ocena 9145.5:
generacja 193, waga 916, wartosc 6031, ocena 9130.5:
generacja 194, waga 984, wartosc 5963, ocena 8960.5:
generacja 195, waga 994, wartosc 5980, ocena 8976:
generacja 196, waga 994, wartosc 5885, ocena 8833.5:
generacja 197, waga 907, wartosc 5871, ocena 8899.5:
generacja 198, waga 979, wartosc 5904, ocena 8877:
generacja 199, waga 984, wartosc 6026, ocena 9055:
generacja 200, waga 972, wartosc 6008, ocena 9040:
generacja 201, waga 954, wartosc 6186, ocena 9325:
generacja 202, waga 967, wartosc 5923, ocena 8917.5:
generacja 203, waga 980, wartosc 6056, ocena 9104:
generacja 204, waga 978, wartosc 5923, ocena 8906.5:
generacja 205, waga 964, wartosc 6150, ocena 9261:
generacja 206, waga 933, wartosc 6025, ocena 9104.5:
generacja 207, waga 998, wartosc 6138, ocena 9209:
generacja 208, waga 990, wartosc 6163, ocena 9254.5:
generacja 209, waga 987, wartosc 6148, ocena 9235:
generacja 210, waga 995, wartosc 6106, ocena 9164:
generacja 211, waga 951, wartosc 6083, ocena 9173.5:
generacja 212, waga 957, wartosc 6120, ocena 9223:
generacja 213, waga 949, wartosc 6120, ocena 9231:
generacja 214, waga 980, wartosc 6211, ocena 9336.5:
generacja 215, waga 990, wartosc 6157, ocena 9245.5:
generacja 216, waga 926, wartosc 6012, ocena 9092:
generacja 217, waga 987, wartosc 6105, ocena 9170.5:
generacja 218, waga 984, wartosc 6170, ocena 9271:
generacja 219, waga 989, wartosc 6347, ocena 9531.5:
generacja 220, waga 971, wartosc 6028, ocena 9071:
generacja 221, waga 1000, wartosc 6126, ocena 9189:
generacja 222, waga 943, wartosc 6074, ocena 9168:
generacja 223, waga 997, wartosc 6206, ocena 9312:
